"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
record_id;demography;;text;"Record ID";;;;;;;;;;;;;
birthdate;demography;;text;"Date of Birth";;;date_dmy;1920-01-01;2020-01-01;y;;y;;;;;
sex;demography;;radio;Sex;"0, female|1, male";;;;;y;;y;RH;;;;
race;demography;;dropdown;Race;"0, White|1, Asian|2, Black|3, Hispanic|4, Middle Eastern or North African|5, Native American|6, Native Pacific Islander|7, Unknown";;;;;y;;;;;;;
weight;demography;;text;Weight;;kg;number;30;200;;;;;;;;
height;demography;;text;Height;;cm;number;120;210;;;;;;;;
bmi;demography;;calc;BMI;[weight]*10000/([height]*[height]);kg/m²;;;;;;;;;;;
cied;medical_history;;yesno;"Cardiovascular Implantable Electronic Device";;;;;;;;y;RH;;;;
cied_spec;medical_history;;dropdown;"Form of CIED";"1, VVI-ICD|2, VVI-PM|3, DDD-ICD|4, DDD-PM|5, CRT-ICD|6, CRT-PM|7, CardioMEMS|8, leadless PM|9, S-ICD|10, AAI";"currently performing form";;;;;"[cied] = '1'";;;;;;
cied_date;medical_history;;text;"Date of CIED Implantation";;;date_dmy;;;;"[cied] = '1'";;;;;;
history_arrhythmia;medical_history;" ";yesno;"History of Cardiac Arrhythmia ";;;;;;;;y;RH;;;;
history_arrhythmia_spec;medical_history;;checkbox;"Cardiac Arrhythmia ";"1, Atrial Fibrillation|2, Atrial Flutter|3, Ventricular Tachycardia|4, Ventricular Fibrillation|5, AV-Block II|6, AV-Block III|7, Sinus node dysfunction";"persistent cardiac arrhythmia or event in medical history";;;;;"[history_arrhythmia] = '1'";;;;;;
diabetes;medical_history;" ";yesno;"Diabetes mellitus ";;;;;;;;y;RH;;;;
diabetes_spec;medical_history;;dropdown;"Type of Diabetes mellitus";"1, Typ I|2, Typ II - diet treated|3, Typ II - drug treated|4, Typ II - insulin dependent|5, unknown";;;;;;"[diabetes] = '1'";;;;;;
ckd;medical_history;" ";yesno;"Chronic kidney disease";;;;;;;;;RH;;;;
ckd_spec;medical_history;;dropdown;"Stage of Chronic kidney disease";"1, Normal or high GFR (GFR > 90 mL/min)|2, Mild CKD (GFR = 60-89 mL/min)|3, Moderate CKD (GFR = 45-59 mL/min)|4, Moderate CKD (GFR = 30-44 mL/min)|5, Severe CKD (GFR = 15-29 mL/min)|6, End Stage CKD (GFR < 15 mL/min)";;;;;;[ckd]='1';;RH;;;;
antiplat_th;medical_history;" ";yesno;"Antiplatelet Therapy";;;;;;;;y;RH;;;;
antiplat_therapy_spec;medical_history;;checkbox;"Specific Antiplatelet Therapy ";"1, Aspirin|2, Clopidogrel|3, Ticagrelor|4, Prasugrel|5, {antiplat_th_spec_o}";;;;;;"[antiplat_th] = '1'";;;;;;
antiplat_th_spec_o;medical_history;;text;"Other Antiplatelet Therapy";;;;;;;"[antiplat_therapy_spec(5)] = '1'";;;;;;
oak;medical_history;;yesno;"Oral Anticoagulation";;;;;;;;y;RH;;;;
oak_spec;medical_history;;radio;"Specific Oral Anticoagulation";"1, Marcumar|2, Apixaban|3, Rivaroxaban|4, Dabigatran|5, {oak_spec_o}";;;;;;"[oak] = '1'";;;;;;
oak_spec_o;medical_history;;text;"Other Oral Anticoagulation";;;;;;;"[oak_spec] = '5'";;;;;;
onco;medical_history;" ";yesno;"Oncological Diagnosis ";;;;;;;;y;RH;;;;
onco_spec;medical_history;;text;"Oncological Diagnosis";;;;;;;"[onco] = '1'";;;;;;
onco_therapy;medical_history;;yesno;"History of Oncological Treatment";;;;;;;[onco]='1';;RH;;;;
onco_therapy_spec;medical_history;;checkbox;"Form of Oncological Treatment";"1, Radiation Therapy|2, Chemotherapy";;;;;;"[onco_therapy] = '1'";;;;;;
onco_therapy_date;medical_history;;text;"Date of Oncological Treatment";;;date_dmy;;;;"[onco_therapy] = '1'";;;;;;
drugs;medical_history;" ";yesno;"History of / current drug abuse ";;;;;;;;y;RH;;;;
drugs_spec;medical_history;;checkbox;"Drug Types";"1, Amphetamine|2, Kokain|3, Heroin i.v.|4, Cannabis|5, MDMA|6, Methadon";;;;;;"[drugs] = '1'";;;;;;
copd;medical_history;" ";yesno;"Chronic obstructive pulmonary disease";;;;;;;;y;RH;;;;
copd_spec;medical_history;;dropdown;"Type of COPD ";"1, Stadium I (only drug Treatment if needed)|2, Stadium II (>= 1 long acting bronchodilator)|3, Stadium III (>=1 long acting bronchodilator plus inhalative steroids)|4, Stadium IV (mentioned drug treatment plus oxygen therapy)|5, unknown";;;;;;"[copd] = '1'";;;;;;
pulm_hypertension;medical_history;;yesno;"Pulmonary Hypertension";;;;;;;;;RH;;;;
pulm_hypertension_spec;medical_history;;radio;"Type of Pulmonary Hypertension";"1, moderate (PA systolic 31-55mmHg)|2, severe (PA systolic >55mmHg)";;;;;;"[pulm_hypertension]=""1""";;;;;;
pulm_fibrosis;medical_history;;yesno;"Pulmonary Fibrosis";;;;;;;;;RH;;;;
stroke;medical_history;" ";yesno;"Previous Stroke ";;;;;;;;;RH;;;;
stroke_date;medical_history;;text;"Date of Stroke";;;date_dmy;;;;"[stroke] = '1'";;RH;;;;
stroke_spec;medical_history;;radio;"Specifics of previous Stroke";"1, ischemic|2, hemorrhagic";;;;;;"[stroke] = '1'";;RH;;;;
musc_dyst;medical_history;;yesno;"Muscular dystrophy";;;;;;;;;RH;;;;
art_hypertension;medical_history;" ";yesno;"Arterial Hypertension";;;;;;;;;RH;;;;
med_aht;medical_history;;yesno;"Medication for Arterial Hypertension known?";;;;;;;"[art_hypertension]=""1""";;RH;;;;
med_aht_spec;medical_history;;checkbox;"Medication for Arterial Hypertension";"1, Betablocker|2, ACE Inhibitor|3, Angiotension Receptor Antagonist|4, Aldosteron Antagonists|5, ARNI (=Entresto®)|6, Loop Diuretics|7, HCT|8, Calcium Channel Blockers|9, SGLT2-Inhibitor";;;;;;"[med_aht]=""1""";;;;;;
nicotine;medical_history;" ";yesno;"History of / current nicotine consumption";;;;;;;;y;RH;;;;
alcohol;medical_history;;yesno;"History of / current alcohol consumption";;;;;;;;y;RH;;;;
mobility;medical_history;" ";yesno;"Poor mobility";;"severe impairment of mobility secondary to musculoskeletal or neurological dysfunction";;;;;;y;RH;;;;
aids;medical_history;" ";yesno;AIDS;;;;;;;;y;RH;;;;
immunsupp;medical_history;;yesno;Immunosuppression;;;;;;;;y;RH;;;;
covid19;medical_history;;dropdown;"Covid-19 ";"1, confirmed by testing|2, suspected but NO testing|3, no clinical suspicion of COVID19 (and no testing)|4, confirmed negative";;;;;;;y;;;;;
pavk;vascular_diseases;;yesno;"Peripheral arterial disease";;;;;;;;y;RH;;;;
pavk_spec_r;vascular_diseases;;dropdown;"Stadium of PAD right";"1, I|2, IIa|3, IIb|4, III|5, IV|6, unknown";;;;;;"[pavk] = '1'";;;;;;
pavk_spec_l;vascular_diseases;;dropdown;"Stadium of PAD left";"1, I|2, IIa|3, IIb|4, III|5, IV|6, unknown";;;;;;"[pavk] = '1'";;;;;;
pavk_stent;vascular_diseases;" ";yesno;"History of percutaneous intervention due to PAD";;;;;;;"[pavk] = '1'";;RH;;;;
pavk_stent_side;vascular_diseases;;checkbox;"Percutaneous intervention due to PAD ";"1, right|2, left";;;;;;[pavk_stent]='1';;RH;;;;
pavk_stent_r_local;vascular_diseases;;checkbox;"Localisation of stent implantation right";"7, A. iliaca externa|1, A. femoralis communis|2, A. femoralis superficialis|3, A. femoralis profunda|6, A. poplitea|4, A. tibialis anterior|5, A. tibialis posterior";;;;;;"[pavk_stent_side(1)] = '1'";;;;;;
pavk_stent_l_local;vascular_diseases;;checkbox;"Localisation of stent implantation left";"1, A. iliaca externa|2, A. femoralis communis|3, A. femoralis superficialis|4, A. femoralis profunda|5, A. poplitea|6, A. tibialis anterior|7, A. tibialis posterior";;;;;;"[pavk_stent_side(2)] = '1'";;;;;;
pavk_op;vascular_diseases;"


";yesno;"History of surgery due to PAD";;;;;;;"[pavk] = '1'";;RH;;;;
pavk_op_side;vascular_diseases;;checkbox;"Surgery due to PAD ";"1, right|2, left";;;;;;[pavk_op]='1';;RH;;;;
pavk_op_r_spec;vascular_diseases;;checkbox;"Type of surgery right ";"1, femoropopliteal bypass|3, amputation|4, thrombo-endarterectomy";;;;;;"[pavk_op_side(1)] = '1'";;;;;;
pavk_amputation_r_local;vascular_diseases;;text;"Localisation of amputated limb";;;alpha_only;;;;"[pavk_op_r_spec(3)] = '1'";;;;;;
pavk_op_l_spec;vascular_diseases;;checkbox;"Type of surgery left";"1, femoropopliteal bypass|3, amputation|4, thrombo-endarterectomy";;;;;;"[pavk_op_side(2)] = '1'";;;;;;
pavk_amputation_l_local;vascular_diseases;;text;"Localisation of amputated limb";;;alpha_only;;;;"[pavk_op_l_spec(3)] = '1'";;;;;;
cavk;vascular_diseases;" ";yesno;"Cerebral arterial disease";;;;;;;;y;RH;;;;
acc_right;vascular_diseases;;dropdown;"Stenosis A. carotis communis right";"1, < 50 %|2, 50 - 69 %|3, 70 - 89 %|4, > 90 %|5, unknown";;;;;;"[cavk] = '1'";;;;;;
aci_right;vascular_diseases;;dropdown;"Stenosis A. carotis interna right ";"1, < 50 %|2, 50 - 69 %|3, 70 - 89 %|4, > 90 %|5, unknown";;;;;;"[cavk] = '1'";;;;;;
ace_right;vascular_diseases;;dropdown;"Stenosis A. carotis externa right ";"1, < 50 %|2, 50 - 69 %|3, 70 - 89 %|4, > 90 %|5, unknown";;;;;;"[cavk] = '1'";;;;;;
acc_left;vascular_diseases;;dropdown;"Stenosis A. carotis communis left ";"1, < 50 %|2, 50 - 69 %|3, 70 - 89 %|4, > 90 %|5, unknown";;;;;;"[cavk] = '1'";;;;;;
aci_left;vascular_diseases;;dropdown;"Stenosis A. carotis interna left";"1, < 50 %|2, 50 - 69 %|3, 70 - 89 %|4, > 90 %|5, unknown";;;;;;"[cavk] = '1'";;;;;;
ace_left;vascular_diseases;;dropdown;"Stenosis A. carotis externa left";"1, < 50 %|2, 50 - 69 %|3, 70 - 89 %|4, > 90 %|5, unknown";;;;;;"[cavk] = '1'";;;;;;
cavk_op;vascular_diseases;;yesno;"History of surgery due to CAD ";;;;;;;"[cavk] = '1'";;RH;;;;
cavk_tea_l;vascular_diseases;;yesno;"Thrombo-endarterectomy left";;;;;;;"[cavk_op] = '1'";;RH;;;;
cavk_tea_r;vascular_diseases;;yesno;"Thrombo-endarterectomy right";;;;;;;"[cavk_op] = '1'";;RH;;;;
vasc_other;vascular_diseases;" ";yesno;"Other arterial disease ";;;;;;;;;RH;;;;
vasc_other_spec;vascular_diseases;;text;"Specific arterial disease";;;;;;;"[vasc_other] = '1'";;;;;;
op_vasc_other;vascular_diseases;;yesno;"History of other vascular surgery 
";;;;;;;"[vasc_other] = '1'";;RH;;;;
op_vasc_other_spec;vascular_diseases;;text;"Type and Localisation of other vascular surgery ";;;;;;;"[op_vasc_other] = '1'";;;;;;
surgery;surgery;;yesno;"History of heart surgery or surgery since hospital admission";;;;;;;;y;RH;;;;
surgery_spec;surgery;;dropdown;"Specifics of surgical intervention";"1, Heart Surgery|2, Surgery associated to ECLS-Therapy|4, Surgery associated to Impella-Therapy|3, Other surgery since hospital admission";;;;;;"[surgery] = '1'";;;;;;
surgery_date;surgery;;text;"Date of surgery ";;;date_dmy;;;;"[surgery] = '1'";;;;;;
heart_surgery_spec;surgery;;checkbox;"Heart Surgery ";"1, CABG - RIVA|2, CABG - RCX|3, CABG - RCA|4, Aortic valve replacement (biologic)|5, Aortic valve replacement (mechanical)|6, Aortic valve repair|7, Mitral valve replacement (biologic)|8, Mitral valve replacement (mechanical)|9, Mitral valve repair (with annuloplasty ring)|10, Mitral valve repair (without annuloplasty ring)|11, Tricuspid valve replacement (biologic)|12, Tricuspid valve replacement (mechanical)|13, Tricuspid valve repair|14, Myectomy|15, Left Ventricular Assist Device Implantation|17, Ascending Aorta replacement supracoronar|18, Ascending Aorta replacement|19, Heart Transplantation|20, Lung Transplantation|21, Heart- and Lung Transplantation|22, Transcatheter Aortic Valve Implantation|23, Aortic arch stent|16, {heart_surgery_other}";;;;;;"[surgery_spec] = '1'";;;;;;
heart_surgery_other;surgery;;notes;"Other Heart Surgery ";;;;;;;"[heart_surgery_spec(16)] = '1'";;;;;;
hs_info;surgery;;yesno;"Further information available? ";;;;;;;"[surgery_spec] = '1'";;RH;;;;
hs_urgency;surgery;;dropdown;"Urgency of the Operation";"1, Elective|3, Urgent|2, Emergency";;;;;;[hs_info]='1';;;;;;
hs_cc_time;surgery;;text;"Duration of Cross Clamp";;Minutes;number;0;200;;[hs_info]='1';;;;;;
hs_cpb_time;surgery;;text;"Duration of Cardiopulmonary Bypass ";;Minutes;number;0;400;;[hs_info]='1';;;;;;
ecls_surgery;surgery;;checkbox;"Surgery associated to ECLS-Therapy";"3, Thoracotomy|1, Fasciotomy|7, Change of Cannulation Site|5, Implantation of chest drain|6, {ecls_surgery_other}";;;;;;"[surgery_spec] = '2'";;;;;;
ecls_surgery_pericard;surgery;;yesno;"Opening of the pericardium?";;;;;;;"[ecls_surgery(3)] = '1'";;RH;;;;
ecls_surgery_spec;surgery;;notes;"Specifics of Surgery associated to ECLS Therapy ";;;;;;;"[surgery_spec] = '2'";;;;;;
ecls_surgery_other;surgery;;text;"Other surgery associated to ECLS therapy";;;;;;;"[ecls_surgery(6)] = '1'";;;;;;
